
2024/03/08 (08:24:55) | ===> btop++ v.1.3.2
2024/03/08 (08:24:55) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/03/08 (08:28:17) | ===> btop++ v.1.3.2
2024/03/08 (08:28:17) | WARNING: Failed to set locale UTF-8 continuing anyway.
2024/03/08 (12:21:16) | ERROR: Stall in Runner thread, restarting!

2024/04/18 (10:53:36) | ===> btop++ v.1.3.2
2024/04/18 (10:53:36) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/04/18 (10:55:04) | ===> btop++ v.1.3.2
2024/04/18 (10:55:04) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/04/18 (11:10:33) | ===> btop++ v.1.3.2
2024/04/18 (11:10:33) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/04/18 (11:17:42) | ===> btop++ v.1.3.2
2024/04/18 (11:17:42) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/04/18 (11:33:24) | ===> btop++ v.1.3.2
2024/04/18 (11:33:24) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/04/18 (13:48:37) | ===> btop++ v.1.3.2
2024/04/18 (13:48:37) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/04/19 (18:47:49) | ===> btop++ v.1.3.2
2024/04/19 (18:47:49) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/04/19 (18:49:35) | ===> btop++ v.1.3.2
2024/04/19 (18:49:35) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/04/19 (18:50:38) | ===> btop++ v.1.3.2
2024/04/19 (18:50:38) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/04/22 (21:10:00) | ===> btop++ v.1.3.2
2024/04/22 (21:10:00) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/04/22 (21:16:53) | ===> btop++ v.1.3.2
2024/04/22 (21:16:53) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/04/22 (21:17:03) | ===> btop++ v.1.3.2
2024/04/22 (21:17:03) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/04/22 (21:21:40) | ===> btop++ v.1.3.2
2024/04/22 (21:21:40) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/05/06 (07:47:31) | ===> btop++ v.1.3.2
2024/05/06 (07:47:31) | WARNING: Failed to set locale UTF-8 continuing anyway.
